mb_code16,lon,lat
20015920000,145.0491070887,-37.7700103581
20015930000,145.0462126829,-37.7594859510
20015940000,145.0605683475,-37.7714807570
20015950000,145.0549593706,-37.7621346385
20015960000,145.0470483933,-37.7621063772
20015970000,145.0614071476,-37.7621447708
20015980000,145.0509799385,-37.7602519746
20015990000,145.0529334251,-37.7647141023
20016000000,145.0492533082,-37.7642815419
20016010000,145.0558625976,-37.7669237814
20016020000,145.0422982016,-37.7545492849
20016030000,145.0428923374,-37.7608117247
20016040000,145.0441237020,-37.7511410820
20016050000,145.0431748476,-37.7622823835
20016060000,145.0419493170,-37.7649372696
20016070000,145.0391654579,-37.7573595456
20016080000,145.0662372051,-37.7489183158
20016090000,145.0697252037,-37.7489589816
20016100000,145.0388654745,-37.7502962027
20016110000,145.0633563827,-37.7529452669
20016120000,145.0698903925,-37.7517266392
20016130000,145.0661757661,-37.7588611427
20016140000,145.0636578545,-37.7578877028
20016150000,145.0658074832,-37.7566763627
20016160000,145.0621094823,-37.7494057768
20016170000,145.0535402001,-37.7525635529
20016180000,145.0580918062,-37.7522155382
20016200000,145.0488309325,-37.7514288198
20016210000,145.0501299526,-37.7556717243
20016220000,145.0573691094,-37.7579520463
20016230000,145.0523471781,-37.7433054362
20016240000,145.0592963681,-37.7422424517
20016250000,145.0613604234,-37.7418869537
20016260000,145.0566002863,-37.7409726264
20016271000,145.0477850396,-37.7459986868
20016272000,145.0464134621,-37.7458858964
20016280000,145.0516320139,-37.7481140154
20016290000,145.0665219685,-37.7314479547
20016300000,145.0638436672,-37.7314450903
20016310000,145.0629351742,-37.7282781260
20016320000,145.0693127983,-37.7438380068
20016332000,145.0666862187,-37.7422975894
20016333000,145.0646264933,-37.7427419145
20016340000,145.0914842230,-37.7368997278
20016350000,145.0832525656,-37.7366989508
20016360000,145.0762867701,-37.7369699160
20016370000,145.0888022824,-37.7362490175
20016380000,145.0857694769,-37.7384380172
20016390000,145.0909752854,-37.7404867973
20016400000,145.0840651639,-37.7404331758
20015600000,145.0430148521,-37.7731586090
20016410000,145.0721783876,-37.7395947800
20016420000,145.0607626826,-37.7344842268
20016430000,145.0589814361,-37.7334627405
20016440000,145.0477885514,-37.7318458197
20016450000,145.0505803161,-37.7381462244
20016460000,145.0570346660,-37.7376338619
20016470000,145.0528679870,-37.7357741476
20016480000,145.0476223150,-37.7359028388
20016490000,145.0450582016,-37.7403498811
20016500000,145.0463850604,-37.7380803451
20017641000,145.0520420847,-37.7377419331
20016510000,145.0822797995,-37.7301039636
20016520000,145.0750452701,-37.7301090105
20015430000,145.1003364176,-37.7303500749
20015440000,145.0325426358,-37.7601277971
20015450000,145.1074382761,-37.7211126227
20015460000,145.0362540560,-37.7605295710
20015470000,145.0345697313,-37.7517194852
20015480000,145.0360276971,-37.7664109539
20015490000,145.0373816662,-37.7545057374
20015500000,145.0427401741,-37.7470694190
20015510000,145.0433552352,-37.7373706905
20015520000,145.0435992269,-37.7356733872
