street_id,road_name,road_type,locality_name
1,AANENSEN,COURT,MONTMORENCY
2,AARAN,CLOSE,ENDEAVOUR HILLS
3,AARON,PLACE,KILSYTH
4,AARON,ROAD,TARNEIT
5,ABACOT,STREET,CLYDE NORTH
6,ABARTH,STREET,TARNEIT
7,ABASSIA,STREET,BALWYN NORTH
8,ABBEY,ALLEY,GREENVALE
9,ABBEY,CLOSE,KINGS PARK
10,ABBEY,COURT,FRANKSTON SOUTH
11,ABBEY,COURT,GLADSTONE PARK
12,ABBEY,COURT,NOBLE PARK
13,ABBEY,COURT,RINGWOOD
14,ABBEY,COURT,WANTIRNA
15,ABBEY,LANE,EDITHVALE
16,ABBEY,LANE,MCCRAE
17,ABBEY,LANE,STRATHMORE
18,ABBEY,MEWS,ELTHAM
19,ABBEY,ROAD,NARRE WARREN SOUTH
20,ABBEY,STREET,EPPING
21,ABBEY,WALK,POINT COOK
22,ABBEY,WALK,VERMONT
23,ABBEYDALE,COURT,BERWICK
24,ABBEYDALE,COURT,MULGRAVE
25,ABBEYGATE,COURT,FRANKSTON
26,ABBEYGATE,STREET,OAKLEIGH
27,ABBIE,CLOSE,LILYDALE
28,ABBIN,AVENUE,BENTLEIGH EAST
29,ABBIN,COURT,ROWVILLE
30,ABBINGTON,AVENUE,CHELTENHAM
31,ABBINGTON,CRESCENT,CAROLINE SPRINGS
32,ABBINGTON,DRIVE,TRUGANINA
33,ABBOT,COURT,ALBANVALE
34,ABBOT,COURT,GLEN WAVERLEY
35,ABBOT,GROVE,ABBOTSFORD
36,ABBOTSFORD,AVENUE,MALVERN EAST
37,ABBOTSFORD,GROVE,IVANHOE
38,ABBOTSFORD,ROAD,MICKLEHAM
39,ABBOTSFORD,STREET,ABBOTSFORD
40,ABBOTSFORD,STREET,NORTH MELBOURNE
41,ABBOTSFORD,STREET,SORRENTO
42,ABBOTSFORD,STREET,WEST MELBOURNE
43,ABBOTSWOOD,DRIVE,HOPPERS CROSSING
44,ABBOTT,COURT,CRAIGIEBURN
45,ABBOTT,COURT,TAYLORS LAKES
46,ABBOTT,GROVE,CLIFTON HILL
47,ABBOTT,ROAD,HALLAM
48,ABBOTT,STREET,ABBOTSFORD
49,ABBOTT,STREET,ALPHINGTON
50,ABBOTT,STREET,BALWYN NORTH
51,ABBOTT,STREET,DANDENONG
52,ABBOTT,STREET,DANDENONG SOUTH
53,ABBOTT,STREET,SANDRINGHAM
54,ABBOTT,STREET,SPOTSWOOD
55,ABBOTTS,ROAD,DANDENONG SOUTH
56,ABBOTTSWOOD,CLOSE,DINGLEY VILLAGE
57,ABECKETT,CLOSE,MOUNT MARTHA
58,ABECKETT,ROAD,BEACONSFIELD UPPER
59,ABECKETT,ROAD,BUNYIP
60,ABECKETT,ROAD,LONGWARRY
61,ABECKETT,ROAD,NARRE WARREN NORTH
62,ABECKETT,STREET,COBURG
63,ABECKETT,STREET,KEW
64,ABECKETT,STREET,MELBOURNE
65,ABECKETT,STREET,PRAHRAN
66,ABECKETT,STREET,SEAFORD
67,ABECKETT,STREET,ST KILDA EAST
68,ABELIA,AVENUE,FRANKSTON
69,ABELIA,COURT,BUNDOORA
70,ABELIA,COURT,HILLSIDE (GREATER MELBOURNE)
71,ABELIA,COURT,MEADOW HEIGHTS
72,ABELIA,COURT,SUNBURY
73,ABELIA,RISE,NARRE WARREN
74,ABELIA,STREET,DONCASTER EAST
75,ABELIA,STREET,FOREST HILL
76,ABELIA,STREET,NUNAWADING
77,ABELIA,WAY,HOPPERS CROSSING
78,ABERCAIRN,COURT,DEER PARK
79,ABERCAIRN,DRIVE,NARRE WARREN SOUTH
80,ABERCARN,AVENUE,CRAIGIEBURN
81,ABERCORN,AVENUE,IVANHOE
82,ABERCROMBIE,GROVE,EPPING
83,ABERCROMBIE,STREET,BERWICK
84,ABERCROMBIE,STREET,DEEPDENE
85,ABERCROMBIE,STREET,OAKLEIGH SOUTH
86,ABERCROMBY,ROAD,BLACKBURN SOUTH
87,ABERDEEN,AVENUE,GREENVALE
88,ABERDEEN,COURT,EPPING
89,ABERDEEN,COURT,NARRE WARREN
90,ABERDEEN,COURT,WHEELERS HILL
91,ABERDEEN,CRESCENT,ESSENDON
92,ABERDEEN,DRIVE,DANDENONG NORTH
93,ABERDEEN,DRIVE,DONCASTER
94,ABERDEEN,DRIVE,LILYDALE
95,ABERDEEN,GROVE,NORTHCOTE
96,ABERDEEN,ROAD,ALTONA
97,ABERDEEN,ROAD,BLACKBURN SOUTH
98,ABERDEEN,ROAD,MACLEOD
99,ABERDEEN,ROAD,PRAHRAN
100,ABERDEEN,ROAD,SANDRINGHAM
101,ABERDEEN,STREET,ABERFELDIE
102,ABERDEEN,STREET,BRUNSWICK
103,ABERDEEN,STREET,HAWTHORN EAST
104,ABERDEEN,STREET,PASCOE VALE SOUTH
105,ABERDEEN,STREET,RESERVOIR
106,ABERDEEN,WAY,TARNEIT
107,ABERDEEN,WAY,WANTIRNA
108,ABERFELDIE,STREET,ABERFELDIE
109,ABERFELDIE,STREET,MOONEE PONDS
110,ABERFORTH,PLACE,HAMPTON PARK
111,ABERGELDIE,AVENUE,BENTLEIGH
112,ABERGELDIE,AVENUE,MCKINNON
113,ABERSHAM,COURT,ELTHAM
114,ABEY,ROAD,COBBLEBANK
115,ABEY,ROAD,MELTON SOUTH
116,ABIER,STREET,WOLLERT
117,ABINGER,COURT,GLADSTONE PARK
118,ABINGER,PLACE,RICHMOND
119,ABINGER,STREET,RICHMOND
120,ABLETT,COURT,FRANKSTON SOUTH
121,ABODE,PLACE,DIGGERS REST
122,ABOR,COURT,FRANKSTON
123,ABOR,PLACE,MELTON WEST
124,ABOYNE,CLOSE,MULGRAVE
125,ABRAHAM,DRIVE,CROYDON
126,ABRAHAMS,COURT,BURWOOD
127,ABRAM,COURT,FRANKSTON SOUTH
128,ABREHART,ROAD,PAKENHAM
129,ABREHART,STREET,EUMEMMERRING
130,ABU,CLOSE,LYNDHURST
131,ACACIA,AVENUE,BLACKBURN
132,ACACIA,AVENUE,KILSYTH
133,ACACIA,AVENUE,MENTONE
134,ACACIA,AVENUE,OAKLEIGH SOUTH
135,ACACIA,AVENUE,SEAHOLME
136,ACACIA,AVENUE,TECOMA
137,ACACIA,AVENUE,UPWEY
138,ACACIA,CLOSE,MEADOW HEIGHTS
139,ACACIA,CLOSE,SUNSHINE WEST
140,ACACIA,COURT,BRIAR HILL
141,ACACIA,COURT,BUNDOORA
142,ACACIA,COURT,CROYDON SOUTH
143,ACACIA,COURT,DELAHEY
144,ACACIA,COURT,FRANKSTON
145,ACACIA,COURT,PAKENHAM
146,ACACIA,COURT,RINGWOOD
147,ACACIA,COURT,SUNBURY
148,ACACIA,COURT,WEST FOOTSCRAY
149,ACACIA,COURT,WYNDHAM VALE
150,ACACIA,CRESCENT,EMERALD
151,ACACIA,CRESCENT,MELTON SOUTH
152,ACACIA,CRESCENT,PATTERSON LAKES
153,ACACIA,GROVE,GLEN WAVERLEY
154,ACACIA,GROVE,PASCOE VALE SOUTH
155,ACACIA,LANE,FLEMINGTON
156,ACACIA,MEWS,SPRINGVALE
157,ACACIA,PLACE,NOTTING HILL
158,ACACIA,ROAD,FERNTREE GULLY
159,ACACIA,ROAD,HURSTBRIDGE
160,ACACIA,ROAD,UPPER FERNTREE GULLY
161,ACACIA,STREET,BOX HILL
162,ACACIA,STREET,CAMBERWELL
163,ACACIA,STREET,CARNEGIE
164,ACACIA,STREET,DONCASTER
165,ACACIA,STREET,DONCASTER EAST
166,ACACIA,STREET,DOVETON
167,ACACIA,STREET,ELSTERNWICK
168,ACACIA,STREET,GLENROY
169,ACACIA,STREET,MOUNT MARTHA
170,ACACIA,STREET,THOMASTOWN
171,ACACIA,WAY,WALLAN
172,ACACIA,WYND,LANGWARRIN
173,ACADEMY,AVENUE,RESERVOIR
174,ACADEMY,AVENUE,WHEELERS HILL
175,ACADEMY,DRIVE,BROADMEADOWS
176,ACAI,CRESCENT,CLYDE NORTH
177,ACCESS,AVENUE,SOUTH MORANG
178,ACCESS,ROAD,MONT ALBERT NORTH
179,ACCESS,WAY,CARRUM DOWNS
180,ACCRA,STREET,KEYSBOROUGH
181,ACDC,LANE,MELBOURNE
182,ACER,CLOSE,BROADMEADOWS
183,ACER,TERRACE,HOPPERS CROSSING
184,ACFOLD,COURT,ST ALBANS
185,ACHERON,AVENUE,CAMBERWELL
186,ACHERON,AVENUE,MOUNT ELIZA
187,ACHERON,AVENUE,RESERVOIR
188,ACHERON,AVENUE,TOOTGAROOK
189,ACHERON,CLOSE,HALLAM
190,ACHERON,COURT,HAMPTON EAST
191,ACHERON,COURT,SUNBURY
192,ACHERON,CRESCENT,ELTHAM NORTH
193,ACHERON,CRESCENT,WERRIBEE
194,ACHERON,STREET,DONCASTER
195,ACHERON,STREET,EPPING
196,ACHESON,PLACE,COBURG NORTH
197,ACHIEVE,WAY,PAKENHAM
198,ACHILLES,COURT,LILYDALE
199,ACHILLES,STREET,HEIDELBERG WEST
200,ACKERMAN,AVENUE,TARNEIT
201,ACLAND,CLOSE,MULGRAVE
202,ACLAND,COURT,BUNDOORA
