street_id,mb_code16,n_addresses
1,20024280000,10
1,20029710000,21
2,20124820000,20
3,20654720000,10
4,20632005440,19
5,20631956640,8
6,20056390000,5
6,20059822000,7
7,20299470000,7
8,20078490000,8
9,20178360000,8
10,20295650000,5
11,20230100000,12
12,20387990000,5
13,20335150000,4
14,20320801000,3
15,20483530000,3
15,20490330000,2
16,20444890000,2
17,20512950000,4
18,20631990200,7
19,20631995920,38
20,20109760000,2
20,20113990000,23
20,20115160000,2
20,20115170000,4
21,20606831000,5
22,20632880000,4
23,20594770000,7
23,20595560000,2
23,20597730000,2
23,20598020000,3
24,20631984480,33
25,20112620000,12
26,20432890000,12
27,20631956970,8
28,20175300000,9
29,20632004110,54
30,20631928220,8
31,20631928220,2
32,20424950000,10
32,20426560000,11
32,20427300000,21
32,20428990000,17
32,20429450000,33
33,20631899150,4
34,20652560000,4
35,20192820000,7
35,20193440000,11
35,20193780000,6
35,20194320000,6
35,20195940000,25
35,20196430000,35
36,20340892000,20
37,20050630000,32
38,20402790000,15
38,20404730000,27
39,20625530000,9
39,20630760000,7
39,20631989290,3
40,20631966880,10
41,20087820000,5
42,20443460000,22
43,20642522000,5
44,20631984970,16
45,20551000000,15
45,20551010000,1
45,20551930000,2
45,20552760000,10
45,20553480000,19
45,20553500000,6
45,20631944950,5
46,20018100000,25
46,20019830000,55
47,20631949030,7
48,20301030000,8
49,20636570000,5
49,20636990000,14
49,20637712000,1
49,20637720000,22
49,20638330000,57
49,20638720000,5
49,20641930000,11
50,20397050000,19
50,20397060000,9
50,20397760000,25
50,20397930000,8
50,20398590000,76
50,20398600000,6
50,20398860000,4
50,20399660000,4
50,20399670000,7
50,20400840000,21
50,20401080000,14
50,20401090000,23
50,20401270000,29
50,20401280000,6
50,20401490000,23
50,20401680000,18
50,20631898550,10
50,20631928410,11
50,20631929910,33
50,20631935920,223
51,20492900000,10
52,20396140000,5
52,20396360000,9
52,20397260000,10
52,20397920000,1
52,20398851000,21
52,20398852000,7
52,20399644000,4
53,20631946280,8
53,20631950800,7
54,20631984970,63
55,20625360000,9
55,20626680000,8
55,20628920000,5
55,20631320000,2
55,20631480000,4
55,20631510000,10
55,20631620000,8
56,20631947020,24
57,20296880000,11
58,20078250000,7
59,20638270000,20
59,20641960000,5
60,20123410000,77
60,20123431000,2
60,20123432000,7
60,20124271000,6
60,20126881000,27
61,20636970000,1
61,20641040000,28
62,20145262000,57
62,20694040000,1
63,20058550000,23
63,20059140000,14
64,20225600000,1
64,20631985050,1
65,20224551000,2
66,20631954270,23
67,20046780000,12
67,20047220000,22
67,20047260000,11
67,20047470000,14
67,20047600000,4
67,20047740000,43
67,20048970000,30
67,20049060000,9
67,20049530000,26
67,20049730000,2
67,20049950000,11
67,20049970000,11
67,20050820000,20
67,20050830000,4
67,20050840000,4
67,20050871000,29
67,20051250000,81
67,20052100000,11
67,20052110000,7
67,20631996120,85
68,20283330000,25
69,20233711000,19
69,20233720000,5
69,20233751000,1
69,20233761000,39
69,20233762000,29
69,20233791000,3
69,20233792000,1
69,20233802000,1
69,20631904220,20
69,20631911830,11
70,20309860000,9
71,20500990000,10
72,20100660000,28
72,20101530000,20
72,20101542000,12
72,20101732000,8
72,20101873000,10
72,20101874000,5
72,20102500000,79
72,20631977350,11
73,20107070000,24
73,20107750000,3
73,20108840000,28
73,20109420000,1
73,20113690000,42
73,20115060000,4
73,20631898680,1
73,20631980960,1
73,20631983240,6
74,20467460000,26
74,20471770000,26
75,20072380000,10
75,20073781000,11
76,20396801000,5
76,20396802000,510
76,20396880000,3
76,20397610000,3
76,20398203000,404
76,20398390000,96
76,20398981000,22
76,20399891000,2103
76,20401811000,1245
76,20401812000,1
76,20631900830,344
76,20631917160,644
76,20631941900,3
76,20631945340,307
77,20547210000,30
77,20548030000,31
77,20550370000,3
77,20631919360,6
78,20171240000,24
78,20175620000,8
78,20178340000,5
79,20189510000,4
80,20171530000,12
81,20023780000,8
82,20404160000,5
82,20405020000,7
83,20294250000,17
84,20301450000,10
84,20302100000,5
84,20304150000,7
85,20631947900,10
86,20110610000,18
87,20363990000,16
87,20365210000,9
87,20366780000,6
88,20595730000,7
88,20599050000,12
89,20598470000,1
89,20599040000,10
90,20627050000,4
91,20092010000,19
91,20092020000,1
92,20111170000,6
92,20113950000,11
92,20114780000,2
93,20296440000,19
93,20296450000,23
93,20297260000,14
93,20297280000,16
93,20297980000,4
93,20298710000,12
94,20020800000,15
94,20020810000,16
95,20632000910,40
96,20608801700,11
96,20631922120,17
96,20631996380,2
97,20107350000,12
98,20055700000,7
98,20056510000,21
98,20057330000,13
98,20057580000,1
98,20059380000,16
99,20307370000,16
99,20311730000,13
100,20600780000,6
100,20603690000,10
100,20604860000,1
100,20605760000,2
101,20296990000,9
101,20297830000,12
101,20299150000,5
101,20299450000,20
102,20615410000,7
103,20109240000,20
104,20432080000,5
105,20444770000,13
106,20218470000,8
106,20221320000,6
106,20221330000,3
106,20222200000,11
106,20222890000,13
106,20224430000,8
106,20224441000,11
106,20631925260,3
107,20359320000,27
108,20657240000,18
109,20143000000,24
109,20143780000,12
110,20631934300,40
111,20276121000,35
111,20276122000,2
112,20599890000,1
112,20602660000,5
112,20603310000,5
112,20603780000,2
112,20604400000,8
112,20604410000,9
112,20604420000,4
112,20604430000,11
112,20604640000,14
112,20605610000,4
113,20018851000,38
113,20018852000,24
113,20022052000,15
113,20693910000,1
114,20543120000,65
114,20545330000,20
114,20547230000,23
115,20052332000,72
116,20448880000,19
116,20449820000,12
116,20449840000,11
116,20450660000,18
116,20450670000,3
117,20461580000,41
117,20462530000,1
118,20066950000,12
118,20631986310,11
119,20469660000,15
120,20148100000,9
120,20152160000,38
120,20154960000,14
120,20631983880,37
120,20631984130,1
121,20630820000,6
122,20336700000,14
123,20631944670,4
124,20445980000,1
124,20448890000,32
124,20450410000,18
124,20450630000,12
125,20450550000,15
126,20631917990,15
126,20631996430,10
127,20632005600,38
128,20631987140,10
129,20121940000,19
130,20197550000,2
131,20194660000,6
132,20631899680,6
132,20631928540,1
132,20631957850,13
133,20512650000,7
134,20409912000,3
135,20409912000,1
136,20632005700,3
137,20291610000,7
138,20643530000,15
138,20644710000,2
139,20631923160,20
139,20631946100,10
139,20643510000,13
139,20643530000,18
139,20644010000,17
139,20644040000,16
139,20644410000,2
139,20644820000,9
139,20646320000,15
139,20646353000,116
140,20173190000,13
141,20632003800,25
142,20409470000,6
143,20174850000,5
144,20408010000,1
145,20429990000,6
146,20380770000,22
146,20382710000,6
146,20383490000,6
147,20590330000,7
148,20631971040,11
149,20173800000,1
149,20179510000,12
150,20631980770,15
151,20127630000,36
152,20631921660,45
152,20631991760,8
153,20631997390,8
154,20122362200,2
155,20631985870,54
156,20632005920,13
157,20631925330,8
158,20599930000,10
158,20605790000,9
159,20651540000,4
159,20657880000,4
159,20657890000,9
160,20312860000,2
160,20313720000,21
160,20317390000,28
160,20631929230,25
161,20424270000,1
161,20424280000,26
161,20427470000,12
162,20279140000,17
163,20650350000,4
164,20650330000,29
164,20650340000,14
165,20631977340,3
166,20295600000,8
167,20085630000,21
167,20090630000,6
168,20026140000,7
169,20024720000,9
170,20380750000,10
171,20078350000,4
172,20170400000,13
173,20103680000,38
173,20104040000,23
174,20389230000,34
174,20389780000,6
175,20301380000,5
176,20373460000,3
176,20374860000,6
177,20634320000,5
178,20100530000,1
179,20406670000,24
179,20408190000,19
179,20631957700,15
180,20324360000,15
180,20326240000,19
181,20442750000,7
182,20467850000,15
182,20469000000,8
183,20449710000,3
184,20631931550,12
185,20229110000,18
186,20631982020,689
187,20631922190,12
188,20439460000,16
189,20326670000,12
189,20328510000,1
189,20329520000,7
189,20333041000,31
189,20333043000,2
190,20517260000,27
190,20517550000,2
190,20517610000,14
191,20330150000,5
191,20331750000,4
191,20331790000,12
191,20331800000,3
191,20333060000,4
192,20588650000,11
192,20590520000,7
192,20631901000,17
193,20062750000,9
193,20063380000,9
194,20182470000,4
194,20188790000,26
194,20188800000,2
194,20188820000,1
195,20360092000,6
196,20365240000,15
196,20631976570,12
197,20122950000,14
197,20125380000,14
198,20185410000,23
199,20472740000,11
199,20472870000,28
199,20473920000,35
199,20474892000,2
199,20475612000,21
199,20476370000,17
199,20476630000,19
199,20477150000,33
200,20498890000,1
200,20500270000,12
200,20500670000,8
200,20631968300,62
200,20631968310,12
201,20632004570,23
202,20615280000,12
202,20616060000,2
202,20617170000,3
202,20617180000,2
203,20632005920,14
204,20417830000,4
204,20418750000,4
204,20419600000,8
204,20631947910,7
205,20164700000,11
206,20148660000,14
207,20430120000,8
207,20430230000,1
207,20430690000,3
207,20430800000,10
207,20432180000,26
207,20432820000,1
207,20433150000,3
208,20289630000,21
208,20289640000,6
208,20291140000,9
208,20292340000,16
208,20292350000,12
208,20294620000,8
209,20631944870,9
209,20631996810,24
210,20631996830,2
211,20607940000,4
211,20608301000,4
212,20590180000,14
213,20179616000,113
213,20179617000,22
213,20631989770,32
214,20631966880,22
215,20632004710,13
216,20227030000,3
216,20233990000,14
217,20664400000,1
218,20292520000,32
219,20631920290,5
220,20624020000,13
221,20084520000,12
222,20063040000,60
222,20063550000,24
222,20066180000,3
222,20066190000,13
223,20496560000,2
223,20498410000,1
223,20500740000,2
223,20501240000,3
223,20502340000,4
223,20503250000,1
223,20503600000,6
224,20146190000,17
224,20147930000,21
224,20149540000,27
224,20150780000,29
224,20151030000,8
224,20152380000,13
225,20484390000,17
225,20489670000,14
226,20127290000,8
227,20053360000,18
227,20053370000,7
228,20301240000,15
229,20513090000,21
229,20513440000,17
229,20513660000,8
230,20631670000,12
230,20631937160,11
231,20363290000,24
231,20364390000,3
231,20365670000,8
231,20368880000,3
232,20613690000,20
232,20616210000,5
233,20632005780,27
234,20467100000,49
235,20656260000,19
236,20016760000,22
237,20631884200,27
238,20631986540,7
239,20431560000,10
240,20023830000,5
241,20225630000,6
242,20296870000,13
242,20631966920,7
242,20631969680,4
242,20631969690,17
243,20395540000,29
243,20397330000,12
244,20520230000,29
244,20520510000,11
244,20521141000,40
244,20521831000,50
244,20521832000,14
244,20522180000,89
244,20522670000,58
244,20522800000,36
244,20522840000,22
244,20523481000,26
244,20523482000,56
244,20523483000,6
244,20526050000,10
244,20526564000,6
244,20526600000,53
244,20526610000,55
244,20526640000,12
244,20526670000,61
244,20526700000,23
244,20526710000,43
244,20526720000,3
244,20528491000,4
244,20528492000,9
244,20631953090,22
244,20675540000,1
245,20100480000,7
246,20612660000,18
247,20631967190,4
248,20432890000,11
249,20301030000,4
250,20107640000,13
251,20317150000,7
252,20652500000,9
253,20103406300,12
254,20477961000,1
254,20477962000,8
255,20113150000,8
256,20631946330,6
256,20631997750,11
257,20556990000,9
257,20557000000,1
257,20557020000,33
258,20118730000,5
258,20121160000,10
259,20658350000,28
260,20179480000,11
261,20635110000,8
262,20435700000,5
262,20438410000,13
263,20379700000,6
264,20631922470,6
265,20076510000,9
266,20631951300,6
266,20631951310,6
266,20631953420,1
267,20499950000,12
267,20501690000,6
267,20502690000,12
268,20515180000,9
269,20107090000,4
270,20220820000,12
271,20085620000,4
272,20062440000,5
273,20364710000,17
273,20364750000,6
273,20367290000,11
273,20368210000,22
274,20437760000,24
275,20631952560,14
276,20340490000,8
276,20340501000,5
277,20336360000,5
278,20085610000,6
279,20424480000,14
280,20372080000,22
280,20377550000,22
281,20124940000,61
282,20433240000,7
282,20435070000,8
283,20339690000,21
284,20117170000,5
285,20289980000,8
286,20104770000,20
287,20151350000,7
288,20387310000,8
289,20228170000,8
290,20016340000,8
291,20635020000,14
292,20026190000,35
292,20029800000,26
293,20612720000,8
294,20192600000,13
294,20195791000,10
295,20643100000,61
295,20643110000,68
295,20643610000,2
295,20644780000,18
295,20646173000,1
295,20646180000,91
296,20594500000,2
296,20598640000,3
297,20486560000,14
297,20488330000,10
298,20631911930,2
299,20436580000,1
299,20440760000,3
300,20483410000,25
300,20485480000,3
300,20488920000,12
300,20490270000,2
300,20491150000,4
301,20631924620,7
302,20302790000,9
303,20093551000,11
304,20631937440,17
304,20631978550,3
305,20631928800,20
306,20651920000,3
306,20652580000,1
307,20631906190,3
308,20646942000,2
309,20631906150,3
309,20631906190,2
310,20639000000,2
310,20642160000,13
310,20642190000,2
311,20189020000,8
311,20189030000,8
312,20148010000,9
312,20150160000,8
312,20151140000,8
313,20395610000,41
313,20396530000,14
313,20631940270,65
313,20631975650,21
314,20084860000,17
314,20089250000,25
314,20090340000,16
314,20092080000,26
315,20122860000,7
315,20124830000,10
316,20631919080,1
316,20631921960,2
316,20631929730,25
317,20373820000,14
317,20375020000,11
317,20375880000,10
317,20376700000,36
318,20042300000,34
319,20019410000,8
319,20021700000,8
320,20631988270,4
321,20111660000,4
322,20628000000,9
323,20300510000,8
324,20631898400,12
325,20720915000,5
326,20633070000,10
327,20300391000,8
327,20300392000,10
327,20300400000,8
327,20300410000,10
328,20395171000,1
328,20395173000,1
329,20396360000,26
329,20397910000,11
329,20398690000,3
329,20398852000,16
329,20398870000,11
329,20398880000,7
329,20398931000,9
329,20398932000,16
329,20398963000,3
329,20399650000,5
329,20400621000,124
329,20400622000,10
329,20400623000,3
329,20401171000,165
330,20175050000,1
331,20175050000,33
331,20177240000,28
332,20405432000,1
332,20405440000,8
332,20631961340,8
332,20704769000,15
333,20631895500,17
334,20435670000,10
335,20276790000,6
335,20278010000,16
336,20520110000,44
336,20520840000,34
336,20520870000,9
336,20520980000,8
336,20521530000,10
336,20521600000,10
336,20522080000,24
336,20522160000,17
336,20522170000,18
336,20522210000,13
336,20522470000,30
336,20524150000,26
337,20445270000,23
337,20447550000,18
337,20450000000,22
338,20296590000,24
339,20107570000,21
340,20511710000,17
341,20431580000,11
342,20395451000,1
343,20439180000,23
343,20442380000,27
343,20443320000,19
344,20476690000,22
344,20476740000,17
344,20714910000,2
345,20110560000,33
346,20084720000,39
346,20084760000,14
346,20087290000,5
346,20088510000,1
346,20088680000,12
346,20088690000,21
346,20089800000,1
346,20089930000,21
346,20090720000,11
346,20091540000,23
346,20091880000,4
347,20550790000,7
347,20551760000,5
347,20556710000,52
347,20556720000,7
348,20443990000,2
348,20451430000,4
349,20485840000,24
349,20487540000,7
349,20489260000,12
349,20493600000,7
349,20493620000,10
349,20493650000,7
349,20493660000,4
350,20631936610,2
350,20642670000,3
350,20645881000,1
351,20219451000,4
351,20224470000,12
351,20225370000,15
351,20225380000,32
352,20371770000,11
352,20376240000,27
352,20379080000,15
352,20379120000,11
352,20379130000,6
353,20631944990,41
354,20496930000,12
354,20499430000,3
354,20500070000,6
354,20501160000,11
354,20501440000,4
354,20502450000,1
354,20503760000,56
354,20503790000,17
354,20665360000,1
355,20183570000,43
355,20187460000,57
356,20474090000,15
356,20475740000,6
357,20076410000,1
357,20076420000,20
357,20076430000,35
357,20078050000,34
357,20080490000,9
357,20080500000,16
357,20081330000,17
357,20083530000,25
357,20083540000,16
357,20083740000,2
358,20326390000,4
358,20326450000,1
358,20327350000,69
358,20327540000,15
358,20327590000,35
358,20329400000,22
358,20330810000,28
358,20330851000,1
358,20330854000,2
358,20330930000,41
359,20111020000,2
359,20112260000,6
360,20433240000,5
361,20628170000,9
362,20390510000,11
363,20487910000,10
364,20631935850,11
365,20598370000,19
365,20599570000,7
365,20599580000,5
366,20658660000,7
367,20297790000,10
368,20300763000,3
368,20300764000,1
369,20093760000,1
370,20023910000,4
370,20024920000,24
370,20025300000,6
370,20026300000,7
370,20027510000,3
370,20029300000,5
370,20631919770,19
371,20153660000,14
371,20153670000,11
372,20283780000,8
372,20285240000,2
373,20365300000,5
374,20166150000,3
375,20359640000,12
376,20631913550,43
377,20106920000,23
378,20220350000,8
379,20321040000,8
380,20632004110,12
381,20632000590,19
382,20366310000,15
383,20614070000,3
384,20486680000,6
385,20176900000,5
386,20072570000,27
386,20073510000,23
386,20073840000,9
386,20074050000,37
386,20075220000,18
386,20075370000,2
386,20699500000,2
387,20059790000,6
387,20059821000,7
388,20373720000,6
388,20373730000,6
388,20374920000,6
388,20374930000,6
388,20374940000,6
388,20375850000,7
388,20375860000,5
388,20376460000,7
388,20376470000,7
388,20376480000,6
388,20379912000,1
389,20512700000,8
390,20169740000,35
391,20320780000,6
391,20324670000,6
392,20382460000,7
393,20631915500,5
394,20177900000,7
395,20407510000,18
396,20093460000,13
397,20077290000,32
398,20022350000,5
399,20083770000,9
400,20504240000,5
401,20603880000,5
402,20491320000,4
402,20493820000,2
402,20493830000,14
403,20631898600,5
404,20082430000,7
405,20631982270,1
406,20082760000,16
407,20471700000,9
407,20471710000,16
407,20471720000,2
408,20596330000,19
409,20631914650,11
410,20300300000,36
411,20177740000,43
412,20655700000,20
413,20631900000,11
414,20631936380,2
415,20371550000,12
416,20223000000,29
416,20224630000,4
416,20631988330,1
416,20631989370,4
417,20173210000,9
418,20076800000,15
418,20076820000,13
418,20078390000,7
418,20078401000,9
418,20078402000,6
418,20079700000,15
418,20080712000,1
418,20081430000,6
419,20320700000,33
420,20495331000,9
420,20495340000,5
421,20077200000,24
422,20631966880,41
423,20471620000,9
424,20595560000,6
425,20645893000,6
425,20645896000,30
426,20387270000,7
426,20388120000,15
426,20391220000,16
427,20631946350,1
427,20632001140,4
428,20631972650,10
428,20632004450,26
429,20631960610,3
430,20024140000,6
431,20377681000,34
432,20601710000,18
433,20595510000,17
434,20631981940,30
435,20631966820,16
435,20631966830,14
436,20378650000,4
437,20027230000,6
438,20295900000,5
439,20389050000,20
440,20409170000,8
441,20104976100,18
441,20104976200,11
441,20104977000,2
442,20339110000,16
443,20293060000,28
443,20294600000,34
444,20192910000,21
444,20194720000,36
444,20196590000,21
445,20424030000,61
445,20424040000,10
445,20424050000,12
445,20424060000,8
446,20631984480,34
447,20061020000,6
447,20061900000,5
447,20062740000,2
447,20063580000,6
447,20064230000,8
447,20065551000,5
447,20065552000,7
448,20231800000,12
449,20631963880,2
449,20703554100,2
449,20703555200,21
450,20652080000,11
451,20631985870,42
452,20631979600,11
453,20631924920,8
454,20075590000,39
455,20646650000,6
456,20436940000,34
456,20439400000,19
456,20440380000,23
456,20441010000,8
456,20442870000,7
457,20233811000,3
457,20233820000,9
458,20051701000,45
458,20051702000,44
459,20052335000,1
460,20631925330,11
460,20631958770,9
461,20632006600,22
462,20631950070,3
462,20631950080,16
463,20631994350,3
464,20631994350,19
465,20631935510,13
465,20631935520,4
466,20232060000,10
466,20233140000,17
467,20631901430,12
468,20300902000,10
469,20633670000,19
470,20311670000,22
471,20631995510,22
472,20545190000,24
472,20546180000,19
472,20548510000,16
473,20338030000,3
473,20338740000,5
473,20339280000,4
473,20341100000,3
474,20117720000,11
475,20438580000,5
476,20449490000,27
476,20449500000,5
476,20449510000,35
476,20450570000,27
476,20456080000,2
477,20514140000,4
478,20456080000,16
478,20715290000,3
479,20514170000,7
480,20321350000,19
481,20226520000,22
481,20232420000,8
482,20631958270,1
483,20631965190,8
483,20631990920,13
484,20631993870,23
485,20631958430,4
486,20446950000,11
486,20448741000,11
487,20179180000,17
488,20631991760,6
489,20631981850,10
490,20105280000,4
490,20105290000,2
491,20283220000,22
491,20283960000,24
491,20284560000,20
491,21300130000,20
492,20140470000,56
493,20631948050,10
494,20631980760,12
495,20630045000,6
496,20056230000,1
496,20057050000,15
496,20058602000,3
497,20489980000,19
497,20491440000,19
498,20442880000,10
499,20406770000,5
500,20631983610,2
501,20631993230,2
502,20050270000,24
503,20195360000,3
503,20196490000,23
504,20396421000,36
504,20396422000,6
504,20397311000,91
504,20397312000,7
504,20397990000,5
505,20588930000,20
505,20589970000,13
506,20225960000,15
506,20225980000,40
506,20227810000,28
506,20227830000,33
506,20232050000,16
507,20082290000,7
507,20083090000,11
508,20142340000,11
508,20144350000,12
509,20374560000,6
509,20379740000,8
510,20604400000,21
510,20604420000,16
511,20042820000,9
511,20043360000,12
511,20043800000,9
511,20044060000,8
511,20044190000,13
512,20101700000,21
513,20610440000,8
514,20498900000,13
515,20631965490,17
516,20631913550,23
517,20127940000,13
517,20631920290,7
517,20631932160,1
518,20327230000,30
518,20329920000,6
518,20330550000,1
518,20330910000,21
519,20630612000,30
519,20630613000,33
520,20596670000,10
520,20599690000,8
521,20454750000,2
522,20102900000,14
522,20103380000,15
522,20103570000,1
522,20103760000,12
522,20103960000,10
522,20104280000,8
522,20104820000,7
522,20105440000,4
522,20105450000,15
522,20105460000,1
522,20105484000,4
522,20105491000,3
522,20105492000,26
522,20105495000,12
522,20105496000,25
522,20105498000,4
522,20631928380,32
522,20631932940,13
522,20631937260,21
522,20631942870,2
522,20631994290,5
523,20221100000,4
523,20222150000,7
524,20631950510,10
525,20404200000,18
526,20368330000,4
527,20113860000,7
528,20103850000,8
529,20056830000,4
529,20058340000,5
530,20426130000,21
530,20426370000,25
530,20429010000,27
530,20429520000,26
531,20402460000,13
532,20182200000,11
532,20184470000,8
532,20185760000,17
532,20187880000,21
532,20189910000,4
532,20189920000,6
533,20019481000,18
534,20651580000,11
534,20655110000,19
535,20127610000,11
536,20557200000,16
536,20557210000,11
537,20057320000,21
538,20391780000,4
539,20302430000,4
540,20023570000,10
540,20023590000,12
541,20276800000,24
541,20281510000,20
541,20282160000,18
541,20282170000,8
541,20631972760,1
542,20451700000,21
543,20592400000,18
544,20218770000,11
544,20221470000,4
544,20222970000,6
545,20081100000,11
546,20282060000,11
547,20497900000,8
548,20301030000,3
549,20498950000,19
550,20340750000,17
551,20336070000,4
551,20336510000,22
551,20336840000,12
552,20304080000,7
553,20116800000,7
553,20118030000,5
553,20119510000,24
554,20109540000,10
554,20111090000,7
555,20226520000,16
556,20631922470,18
557,20430400000,9
557,20431170000,2
557,20432410000,6
557,20435150000,5
558,20631972900,4
558,20632005420,4
558,20632005870,8
559,20290710000,7
559,20293222000,4
559,20294191000,6
559,20294192000,1
560,20380810000,2
560,20381910000,35
560,20382700000,3
560,20382840000,8
560,20384320000,1
561,20300500000,10
561,20300510000,1
562,20404040000,24
563,20085780000,5
563,20087300000,16
563,20091580000,16
564,20481970000,4
565,20362180000,6
565,20363850000,9
566,20431500000,8
566,20432680000,11
567,20632260000,3
567,20632630000,1
568,20631985870,45
569,20029840000,7
570,20232790000,6
571,20631982090,5
572,20551310000,5
572,20551730000,35
572,20552110000,25
572,20552370000,26
572,20553390000,23
572,20553770000,8
572,20556230000,7
572,20556955000,13
573,20460350000,6
573,20461350000,4
573,20466032000,12
574,20651300000,4
574,20651320000,2
574,20652390000,1
574,20652400000,1
574,20653720000,37
575,20616630000,11
576,20409470000,10
577,20378732000,11
577,20631921480,12
578,20357470000,4
579,20063500000,11
579,20065240000,9
579,20066580000,11
580,20388551000,1
581,20363170000,7
581,20367680000,18
582,20299100000,17
583,20182220000,14
583,20184560000,9
584,20364630000,19
584,20365930000,5
584,20367440000,8
584,20367450000,1
584,20367740000,7
584,20369220000,8
584,20369430000,4
585,20069610000,1
586,20069610000,16
586,20071480000,20
587,20631956640,14
588,20631997420,6
589,20338030000,12
589,20338490000,6
589,20338740000,10
589,20339180000,6
589,20341090000,11
589,20341120000,17
590,20608693600,12
591,20477720000,7
592,20631950840,5
592,20631996960,11
593,20114340000,1
594,20294500000,10
595,20066360000,5
595,20066370000,7
596,20219451000,104
596,20219452000,11
597,21300163000,20
598,20547400000,58
598,20547900000,16
598,20631951530,19
598,20631951780,9
598,20631954750,3
599,20365370000,8
600,20166040000,5
601,20341200000,16
602,20170790000,26
602,20175610000,1
602,20179950000,24
603,20659830000,2
603,20659840000,2
604,20024050000,56
604,20024560000,27
604,20025450000,34
604,20026180000,9
604,20026350000,4
604,20026370000,47
604,20027530000,40
604,20027870000,8
605,20044360000,8
605,20046650000,85
606,20396480000,11
606,20397340000,8
606,20399180000,8
606,20399190000,8
606,20399200000,8
607,20395530000,10
608,20631984970,37
609,20301021000,5
610,20301021000,1
611,20061570000,8
611,20064170000,16
611,20065670000,10
612,20334180000,22
612,20334720000,9
612,20335280000,27
613,20117804000,29
614,20309090000,13
614,20312830000,20
615,20480110000,8
616,20062550000,12
616,20063251000,6
616,20063252000,6
616,20063830000,11
616,20066640000,8
616,20066730000,9
617,20066760000,2
618,20631908810,23
619,20624150000,17
619,20625620000,12
619,20626900000,10
619,20626920000,8
619,20628180000,11
620,20300741300,3
620,20631998810,33
621,20402810000,8
622,20113430000,15
623,20329360000,21
624,20084210000,8
624,20084220000,11
624,20084270000,3
624,20084280000,6
624,20084290000,10
624,20084300000,4
625,20294580000,11
626,20637650000,16
626,20641601000,10
627,20301050000,14
627,20302510000,12
627,20303460000,21
627,20303810000,12
627,20631931280,5
628,20282610000,9
628,20284190000,5
628,20284710000,26
628,20285150000,21
628,20285524000,59
628,20285630000,16
628,20285670000,14
628,20286310000,5
628,20286330000,17
628,20286340000,9
628,20286350000,5
628,20286443000,6
629,20631922840,4
630,20431170000,5
631,20631933130,4
631,20631933140,8
631,20631934600,2
631,20631993350,4
632,20179830000,11
633,20056390000,16
633,20059822000,3
634,20077970000,6
635,20015510000,19
636,20654160000,8
637,20609970000,6
